word,phonetic,meaning
jerky,,肉干
homemade,,自制的
handmade,,手工制作的
discount,,折扣
clearance,,出清
complimentary,,免费赠送的
deal,,交易
compromise,,妥协
regular,,常客
budget,,预算
cost,,要价
price,,价格
cheap,,便宜的
reasonable,,合理的
expensive,,昂贵的
haggle,,讨价还价
flaw,,瑕疵；缺点
receipt,,收据
exchange,,更换
return,,退货
refund,,退款
non-refundable,,不可退款的
redeem,,兑换（现金或商品）
warranty,,保修期
guarantee,,保证
expire,,到期；失效
sample,,样本；试用品
tester,,试用品
demo,,样品
inspection,,检查
rip,,裂缝
damaged,,受损的
defect,,缺陷，瑕疵
blemish,,瑕疵；污点；疤痕
replace,,更换
accept,,接受
bonus,,红利
account,,账户
transfer,,转账
wire,,电汇（钱）
stock,,存货；现货
be out of,,有货
shipment,,货物；运送
shipping,,运费
postage,,邮资
handling,,搬运
purchase,,购买
payment,,金额；款项
bill,,账单；钞票
layaway,,分期累计付款（付清款项后取货）
deliver,,递送
package,,包裹
tissue,,卫生纸
toothpick,,牙签
mouthwash,,漱口水
deodorant,,体香剂
comb,,梳子
sunblock,,防晒霜
sunscreen,,防晒霜
tampon,,卫生棉条
condom,,避孕套
insecticide,,杀虫剂
battery,,电池
pore,,毛孔
wrinkle,,皱纹
essence,,精华液
exfoliate,,去角质
cleanse,,清洁
whitening,,美白的
hydrating,,保湿的
il-control,,控油的
anti-aging,,抗老化的
anti-acne,,抗痘的
facial,,脸部的
t-zone,,型区域
toner,,化妆水
lotion,,乳液
day,,晚霜
gel,,凝露
pimple,,痘痘；粉刺
mask,,面膜
bandage,,绷带
heal,,痊愈
Band-Aid,,创可贴
Q-tip,,棉花棒
gauze,,纱布
tweezers,,镊子
saline,,生理盐水
iodine,,碘酒
antiseptic,,a.抗菌的；消毒药水
intment,,药膏；软膏
painkiller,,止痛药
cold,,热敷袋
cut,,割伤
scrape,,擦伤
wound,,伤口
swelling,,肿胀
scab,,
bruise,,青
bleed,,流血
scissors,,剪刀
dressing,,敷料
treat,,医治
deoderant,,
suit,,西装 ②shirt
shirt,,衬衫
pullover,,套头毛衣
hoodie,,连帽衫
turtleneck,,高领套头衣
sweater,,毛衣
jersey,,球衣；运动衫
blazer,,休闲西装外套
collar,,衣领
button,,纽扣
sleeve,,衣袖
cuff,,袖口
seam,,缝线
lingerie,,性感内衣
corset,,马甲
vest,,背心
coat,,外套
blouse,,女衬衫
jumpsuit,,连身裤
leggings,,内搭裤
pantyhose,,连裤袜
slacks,,宽松长裤
culottes,,裙裤；宽裤
miniskirt,,迷你裙
overalls,,连身工作裤
sundress,,无袖小洋装
trousers,,裤子
shorts,,短裤
straights,,直筒裤
flares,,喇叭裤
chinos,,卡其裤
tutu,,蓬蓬裙
fabric,,布料
cotton,,棉wool
wool,,羊毛
sequin,,亮片
velvet,,天鹅绒
flannel,,法兰绒
nylon,,尼龙
polyester,,聚酯纤维
chiffon,,雪纺纱
lace,,蕾丝
print,,印花布
pattern,,图案：花纹
leopard-spot,,豹纹
zebra-stripe,,斑马纹
texture,,质感
cashmere,,开士米羊毛制品
silk,,丝绸
leather,,皮革
fur,,皮草
suede,,鹿皮
denim,,牛仔布
canvas,,帆布
polka dot,,圆点图案
plaid,,彩色方格
Corsets,,
cap,,鸭舌帽
beanie,,毛帽
slippers,,拖鞋
flip-flops,,人字夹脚拖
wedges,,楔形鞋
boots,,靴子
xfords,,牛津鞋
loafers,,乐福鞋
Crocs,,布希鞋
hairpin,,发夹；小黑夹
hairband,,发箍：发带
scrunchie,,发圈
barrette,,弹簧发夹
fedora,,软呢帽
bonnet,,系带宽边软帽
beret,,贝雷帽
stilettos,,细跟高跟鞋
earrings,,耳环
jewelry,,珠宝
pearl,,珍珠
sapphire,,蓝宝石
ruby,,红宝石
emerald,,绿宝石；翡翠
crystal,,水晶
bead,,珠子
choker,,颈链
chain,,链子
pendant,,坠饰
locket,,盒式项链
bangle,,手环
sunglasses,,太阳眼镜
shawl,,披肩
brooch,,胸针
purse,,女用皮包 晚宴包
clutch,,女用皮包 晚宴包
ruffle,,荷叶边
halter,,绕颈版型
tailored,,量身定做的
formal,,正式的
casual,,休闲的
chic,,时髦的
flamboyant,,绚丽夺目的
punk,,庞克风
tomboy,,中性风
preppy,,学院风
arty,,文艺风的
silhouette,,轮廓剪裁
sheath,,贴身版型
shift,,直筒版型
mermaid,,鱼尾版型
baggy,,宽松的
tassel,,流苏
embroidery,,刺绣
bohemian,,波西米亚风
vacation,,假期
arrange,,安排，筹备
pre-book,,预订
destination all-inclusive,,全包的
hostel,,青年旅社
guesthouse,,小型民宿
homestay,,寄宿家庭
self-catering,,
abroad,,国外；在国外
notify,,通知
grant,,批准，给予
bank,,银行
visa,,签证
consulate,,领事馆
valid,,有效的
apply,,申请
expired,,过期的
extend,,扩大，延伸
denomination,,（货币的）面额
earplug,,耳塞
medication,,药物
tripod,,相机三脚架
charger,,充电器
luggage,,行李
adapter,,转接插头
insurance,,保险
passport,,
luxury,,
driver's license,,
announcement,,公告；宣布
goodbyes,,道别
terminal,,航站
departure,,出发，离开
standby,,候补的
pilot,,飞行员
captain,,机长
cabin,,机舱
legroom,,置腿空间
turbulence,,乱流
landing,,降落，着陆
declare,,申报
jetlag,,时差
immigration,,移居（由外移入）
layover,,短暂停留
runway,,跑道
suite,,（饭店的）套房
lobby,,大厅
swipe,,刷（磁卡）
sign,,签名
signature,,签名
doorman,,门厅侍者
concierge,,大厅服务人员
valet,,代客泊车员
attendant,,服务员
cleaner,,清洁员
maid,,
groundskeeper,,场地管理员
sauna,,桑拿浴
boutique,,精品店
masseuse,,
masseur,,女/男按摩师
spa,,水疗中心
sightseeing,,观光；游览风景
thermostat,,温度自动调节器
bathrobe,,浴袍
Venice,,威尼斯
Istanbul,,伊斯坦布尔
Pompeii,,庞贝
Barcelona,,巴塞罗纳
Berlin,,柏林
Vienna,,维也纳
Maldives,,马尔代夫
Bangkok,,曼谷
Phuket,,普吉岛
Tuscany,,托斯卡尼
Paris,,巴黎
London,,伦敦
Florence,,佛罗伦萨
Rome,,罗马
Dubai,,迪拜
countryside,,乡间（不可数）
Stonehenge,,巨石阵
Parthenon,,万神庙
Disneyland,,迪士尼乐园
flyboarding,,水上飞板
skydiving,,跳伞
zorbing,,太空球
igloo,,冰屋
teepee,,（印第安人的）圆锥帐篷
safari,,（野生动物的）探险旅行
ktoberfest,,慕尼黑啤酒节
separate,,分开
appearance,,外表
emergency,,紧急状况
thief,,小偷
mugger,,以偷袭行抢的抢匪
kidnap,,绑架
kidnapper,,绑架犯
incident,,事件
lose,,遗失
misplaced,,错放的
missing,,找不到的
replacement,,替代物
proof,,证明（不可数）
pickpocket,,扒手
steal,,偷窃
climatize,,适应（环境，气候）
exhausted,,筋疲力尽的
unpack,,从....取出
jet-lagged,,有时差的
travel-weary,,旅途疲惫的
travel-worn,,旅途疲惫的
picture-perfect,,如相片般完美的
spectacular,,壮观的；极好的
verpriced,,过于昂贵的
miserable,,糟糕的
highlight,,最精彩之处
recommend,,推荐
worth,,有·的价值
glamorous,,有魅力的
disaster,,糟糕透顶
recover,,恢复
display,,展示
souvenir,,纪念品
lowlight,,最糟的部分
token,,代币
strap,,带子
straphanger,,拉环
bus,,公交车
minibus,,小型公交车
express,,特快车
nonstop,,直达车
railroad,,铁路；铁路系统
subway,,地铁
carriage,,火车车厢
car,,火车车厢
sleeper,,卧铺
conductor,,列车长
platform,,站台
ku,,（坐卧两用）折
track,,铁轨
hub,,中心;枢纽
ff-peak,,非高峰期的
